initial state; best solution length; population size; initial sequence length; max iterations; selection ratio; number of crossovers; number of mutations; crossover ratio; tolerance; solution best fitness; solution iteration; solution length; execution time
283164705; 5; 10; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 9; 5; 8908776
283164705; 5; 10; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 9; 5; 3781001
283164705; 5; 10; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 9; 5; 3289974
283164705; 5; 10; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 8; 5; 4064708
283164705; 5; 10; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 8; 5; 5288392
283164705; 5; 10; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 8; 5; 4292845
283164705; 5; 10; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 10; 5; 7069643
283164705; 5; 10; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 10; 5; 7935034
283164705; 5; 10; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 10; 5; 5607426
283164705; 5; 10; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 7; 5; 4296621
283164705; 5; 10; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 7; 5; 5008996
283164705; 5; 10; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 7; 5; 3813883
283164705; 5; 10; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 7; 5; 1917465
283164705; 5; 10; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 7; 5; 1972249
283164705; 5; 10; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 7; 5; 1819225
283164705; 5; 10; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 4; 7; 2424933
283164705; 5; 10; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 4; 7; 3083168
283164705; 5; 10; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 4; 7; 2324924
283164705; 5; 10; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 4; 5; 2878967
