initial state; best solution length; population size; initial sequence length; max iterations; selection ratio; number of crossovers; number of mutations; crossover ratio; tolerance; solution best fitness; solution iteration; solution length; execution time
283164705; 5; 10; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 9; 5; 5265000
283164705; 5; 10; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 9; 5; 2185900
283164705; 5; 10; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 9; 5; 1947900
283164705; 5; 10; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 8; 5; 3165600
283164705; 5; 10; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 8; 5; 2804700
283164705; 5; 10; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 8; 5; 2494300
283164705; 5; 10; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 8; 5; 3304400
283164705; 5; 10; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 8; 5; 3138900
283164705; 5; 10; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 8; 5; 3764500
283164705; 5; 10; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 7; 5; 1696900
283164705; 5; 10; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 7; 5; 1415300
283164705; 5; 10; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 7; 5; 1663300
283164705; 5; 10; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 7; 5; 836700
283164705; 5; 10; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 7; 5; 533900
283164705; 5; 10; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 7; 5; 668000
283164705; 5; 10; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 4; 7; 478300
283164705; 5; 10; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 4; 7; 443200
283164705; 5; 10; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 4; 7; 460500
283164705; 5; 10; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 4; 5; 678100
283164705; 5; 10; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 4; 5; 618500
283164705; 5; 10; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 4; 5; 650600
283164705; 5; 10; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 6; 5; 1698500
283164705; 5; 10; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 6; 5; 1563900
283164705; 5; 10; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 6; 5; 1156700
283164705; 5; 10; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 6; 5; 1079200
283164705; 5; 10; 1; 5000; 0.5; 50; 20; 0.5; 60; 0; 6; 5; 1621400
283164705; 5; 10; 1; 5000; 0.5; 50; 20; 0.5; 100; 0; 6; 5; 1263000
283164705; 5; 10; 1; 5000; 0.5; 50; 50; 0.5; 30; 0; 4; 5; 1383300
283164705; 5; 10; 1; 5000; 0.5; 50; 50; 0.5; 60; 0; 4; 5; 1124800
283164705; 5; 10; 1; 5000; 0.5; 50; 50; 0.5; 100; 0; 4; 5; 585900
283164705; 5; 10; 1; 5000; 0.5; 50; 100; 0.5; 30; 0; 6; 5; 1426500
283164705; 5; 10; 1; 5000; 0.5; 50; 100; 0.5; 60; 0; 6; 5; 1266000
283164705; 5; 10; 1; 5000; 0.5; 50; 100; 0.5; 100; 0; 6; 5; 1299600
283164705; 5; 10; 1; 5000; 0.5; 50; 150; 0.5; 30; 0; 7; 5; 1826400
283164705; 5; 10; 1; 5000; 0.5; 50; 150; 0.5; 60; 0; 7; 5; 1856600
283164705; 5; 10; 1; 5000; 0.5; 50; 150; 0.5; 100; 0; 7; 5; 1940700
283164705; 5; 50; 1; 5000; 0.5; 20; 20; 0.5; 30; 0; 29; 5; 5574900
283164705; 5; 50; 1; 5000; 0.5; 20; 20; 0.5; 60; 0; 29; 5; 5382500
283164705; 5; 50; 1; 5000; 0.5; 20; 20; 0.5; 100; 0; 29; 5; 5148000
283164705; 5; 50; 1; 5000; 0.5; 20; 50; 0.5; 30; 0; 5; 5; 1091900
283164705; 5; 50; 1; 5000; 0.5; 20; 50; 0.5; 60; 0; 5; 5; 1370800
283164705; 5; 50; 1; 5000; 0.5; 20; 50; 0.5; 100; 0; 5; 5; 1714900
283164705; 5; 50; 1; 5000; 0.5; 20; 100; 0.5; 30; 0; 11; 5; 3963900
283164705; 5; 50; 1; 5000; 0.5; 20; 100; 0.5; 60; 0; 11; 5; 3651300
283164705; 5; 50; 1; 5000; 0.5; 20; 100; 0.5; 100; 0; 11; 5; 4046600
283164705; 5; 50; 1; 5000; 0.5; 20; 150; 0.5; 30; 0; 6; 5; 7657700
283164705; 5; 50; 1; 5000; 0.5; 20; 150; 0.5; 60; 0; 6; 5; 2982700
283164705; 5; 50; 1; 5000; 0.5; 20; 150; 0.5; 100; 0; 6; 5; 2649300
283164705; 5; 50; 1; 5000; 0.5; 30; 20; 0.5; 30; 0; 16; 5; 3589400
283164705; 5; 50; 1; 5000; 0.5; 30; 20; 0.5; 60; 0; 16; 5; 3861500
283164705; 5; 50; 1; 5000; 0.5; 30; 20; 0.5; 100; 0; 16; 5; 3292900
283164705; 5; 50; 1; 5000; 0.5; 30; 50; 0.5; 30; 0; 13; 5; 3625300
283164705; 5; 50; 1; 5000; 0.5; 30; 50; 0.5; 60; 0; 13; 5; 4957900
283164705; 5; 50; 1; 5000; 0.5; 30; 50; 0.5; 100; 0; 13; 5; 3525500
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 30; 0; 8; 7; 2179100
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 60; 0; 8; 7; 2123000
283164705; 5; 50; 1; 5000; 0.5; 30; 100; 0.5; 100; 0; 8; 7; 2077200
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 30; 0; 10; 9; 3437400
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 60; 0; 10; 9; 3381100
283164705; 5; 50; 1; 5000; 0.5; 30; 150; 0.5; 100; 0; 10; 9; 4075500
283164705; 5; 50; 1; 5000; 0.5; 50; 20; 0.5; 30; 0; 16; 5; 2885100
